datetime;camera;fish;effort;swimtype;against
04.12.2019 12:05;south;1;1,748;swimming;n
12.01.2020 14:20;east;2;1,75;swimming;n
05.12.2019 12:00;feed;1;1,75;swimming;n
04.12.2019 14:20;north;1;1,999;swimming;n
04.12.2019 10:15;east;2;2;calm;n
08.12.2019 10:15;east;2;2;calm;n
13.12.2019 14:20;east;3;2;calm;n
19.01.2020 10:20;east;2;2;swimming;n
04.12.2019 14:00;feed;1;2;calm;n
20.12.2019 12:00;feed;2;2;swimming;n
04.12.2019 10:20;north;1;2;swimming;n
06.01.2020 12:20;north;1;2;swimming;n
17.12.2019 10:20;east;2;2,001;chaotic;n
17.12.2019 14:20;east;2;2,001;calm;n
08.02.2020 15:20;east;3;2,001;swimming;n
13.12.2019 10:20;east;3;2,002;calm;n
04.12.2019 14:20;north;2;2,227;swimming;n
08.12.2019 10:15;east;1;2,249;calm;n
05.12.2019 10:15;east;1;2,25;calm;n
13.12.2019 10:20;east;1;2,25;calm;n
15.12.2019 12:20;east;2;2,25;calm;n
12.01.2020 12:20;east;1;2,25;swimming;n
08.02.2020 12:20;east;2;2,25;swimming;n
04.12.2019 12:00;feed;1;2,25;calm;n
12.01.2020 14:00;feed;4;2,25;balancing;j
20.01.2020 10:00;feed;2;2,25;against;j
24.01.2020 12:00;feed;3;2,25;against;j
11.12.2019 12:15;in;1;2,25;calm;n
20.01.2020 10:15;in;1;2,25;calm;n
04.12.2019 14:20;north;3;2,25;swimming;n
20.12.2019 10:20;north;1;2,25;swimming;n
05.01.2020 10:20;north;2;2,25;swimming;n
20.01.2020 10:20;east;2;2,251;chaotic;n
24.01.2020 10:20;east;2;2,251;swimming;n
04.12.2019 14:00;feed;2;2,251;calm;n
24.01.2020 14:00;feed;2;2,251;against;j
05.12.2019 10:20;north;1;2,251;swimming;n
06.01.2020 10:20;north;1;2,251;against;j
05.12.2019 10:05;south;1;2,252;chaotic;n
12.01.2020 12:20;east;3;2,293;swimming;n
15.12.2019 12:05;south;2;2,497;calm;n
12.01.2020 10:20;east;1;2,499;swimming;n
05.12.2019 12:00;feed;2;2,499;swimming;n
12.01.2020 14:15;in;3;2,499;swimming;n
20.01.2020 10:05;south;1;2,499;against;j
05.12.2019 12:15;east;3;2,5;calm;n
17.12.2019 12:20;east;2;2,5;calm;n
20.12.2019 12:20;east;1;2,5;calm;n
04.12.2019 10:00;feed;1;2,5;calm;n
04.12.2019 10:00;feed;4;2,5;calm;n
04.12.2019 12:00;feed;2;2,5;calm;n
05.12.2019 12:00;feed;3;2,5;swimming;n
12.01.2020 10:00;feed;3;2,5;balancing;j
08.02.2020 15:00;feed;1;2,5;against;j
04.12.2019 10:20;north;3;2,5;swimming;n
05.12.2019 12:20;north;3;2,5;swimming;n
20.12.2019 10:20;north;2;2,5;swimming;n
20.12.2019 10:05;south;2;2,5;chaotic;n
17.12.2019 14:20;east;1;2,501;calm;n
07.01.2020 10:20;east;1;2,501;swimming;n
24.01.2020 12:00;feed;2;2,501;against;j
06.01.2020 10:15;in;1;2,501;calm;n
05.12.2019 10:00;feed;3;2,502;swimming;n
05.01.2020 10:20;north;1;2,55;swimming;n
13.12.2019 10:05;south;2;2,748;swimming;n
17.12.2019 14:20;east;3;2,749;calm;n
20.01.2020 10:20;east;1;2,749;chaotic;n
04.12.2019 10:00;feed;2;2,749;calm;n
24.01.2020 10:00;feed;2;2,749;swimming;n
12.01.2020 14:20;north;3;2,749;chaotic;n
04.12.2019 10:15;east;3;2,75;calm;n
04.12.2019 14:15;east;2;2,75;calm;n
05.12.2019 10:15;east;2;2,75;calm;n
05.12.2019 12:15;east;2;2,75;calm;n
17.12.2019 10:20;east;3;2,75;chaotic;n
19.01.2020 10:20;east;3;2,75;swimming;n
20.01.2020 12:20;east;1;2,75;chaotic;n
20.01.2020 14:20;east;2;2,75;swimming;n
24.01.2020 10:20;east;3;2,75;swimming;n
24.01.2020 12:20;east;3;2,75;against;j
13.12.2019 12:00;feed;3;2,75;against;j
20.12.2019 12:00;feed;1;2,75;swimming;n
26.01.2020 10:00;feed;2;2,75;swimming;n
08.02.2020 09:00;feed;1;2,75;swimming;n
11.12.2019 12:15;in;2;2,75;calm;n
17.12.2019 10:15;in;3;2,75;calm;n
06.01.2020 12:20;north;2;2,75;swimming;n
04.12.2019 10:05;south;2;2,75;calm;n
05.12.2019 10:05;south;2;2,75;chaotic;n
05.01.2020 10:05;south;3;2,75;calm;n
06.01.2020 12:20;east;1;2,751;calm;n
19.01.2020 10:20;east;1;2,751;swimming;n
04.12.2019 10:00;feed;5;2,751;calm;n
17.12.2019 14:00;feed;2;2,751;swimming;n
17.12.2019 14:00;feed;3;2,751;swimming;n
05.01.2020 10:00;feed;1;2,751;chaotic;n
05.12.2019 14:20;north;2;2,751;swimming;n
08.12.2019 10:20;north;1;2,751;against;j
05.01.2020 10:05;south;2;2,751;calm;n
08.02.2020 12:00;feed;2;2,753;swimming;n
06.01.2020 10:20;east;1;2,99;calm;n
15.12.2019 14:05;south;3;2,998;against;j
04.12.2019 10:00;feed;3;2,999;calm;n
05.12.2019 10:00;feed;1;2,999;swimming;n
05.12.2019 10:00;feed;2;2,999;swimming;n
05.12.2019 14:00;feed;3;2,999;swimming;n
17.12.2019 12:00;feed;1;2,999;swimming;n
08.02.2020 12:00;feed;3;2,999;swimming;n
11.12.2019 10:15;in;3;2,999;calm;n
26.01.2020 10:15;in;2;2,999;calm;n
04.12.2019 12:05;south;3;2,999;swimming;n
17.12.2019 12:05;south;2;2,999;calm;n
04.12.2019 12:15;east;1;3;calm;n
05.12.2019 14:15;east;1;3;chaotic;n
05.01.2020 10:20;east;1;3;chaotic;n
12.01.2020 14:20;east;1;3;swimming;n
12.01.2020 14:20;east;3;3;swimming;n
20.01.2020 14:20;east;1;3;swimming;n
24.01.2020 10:20;east;1;3;swimming;n
08.02.2020 15:20;east;2;3;swimming;n
04.12.2019 12:00;feed;4;3;calm;n
13.12.2019 14:00;feed;2;3;against;j
19.01.2020 10:00;feed;1;3;chaotic;n
08.02.2020 09:00;feed;3;3;swimming;n
13.12.2019 14:15;in;1;3;chaotic;n
19.01.2020 10:15;in;1;3;calm;n
08.12.2019 10:20;north;3;3;against;j
15.12.2019 12:05;south;1;3;calm;n
12.01.2020 12:05;south;3;3;chaotic;n
24.01.2020 12:05;south;1;3;against;j
24.01.2020 12:05;south;3;3;against;j
08.12.2019 10:15;east;3;3,001;calm;n
20.12.2019 10:20;east;1;3,001;swimming;n
17.12.2019 14:15;in;3;3,001;against;j
08.02.2020 09:15;in;1;3,001;calm;n
05.01.2020 10:20;north;3;3,001;swimming;n
20.01.2020 10:05;south;3;3,001;against;j
05.01.2020 10:05;south;1;3,003;calm;n
15.12.2019 14:05;south;2;3,245;against;j
05.12.2019 10:15;east;3;3,249;calm;n
13.12.2019 14:20;east;1;3,249;calm;n
05.01.2020 10:15;in;2;3,249;calm;n
06.01.2020 10:15;in;3;3,249;calm;n
05.12.2019 14:15;east;3;3,25;chaotic;n
20.12.2019 12:20;east;3;3,25;calm;n
05.01.2020 10:20;east;3;3,25;chaotic;n
06.01.2020 14:20;east;2;3,25;against;j
07.01.2020 10:20;east;3;3,25;swimming;n
12.01.2020 12:20;east;2;3,25;swimming;n
24.01.2020 14:20;east;2;3,25;against;j
04.12.2019 14:00;feed;4;3,25;calm;n
13.12.2019 14:00;feed;3;3,25;against;j
17.12.2019 14:00;feed;1;3,25;swimming;n
20.12.2019 10:00;feed;3;3,25;swimming;n
12.01.2020 10:00;feed;1;3,25;balancing;j
12.01.2020 14:00;feed;2;3,25;balancing;j
24.01.2020 10:00;feed;3;3,25;swimming;n
11.12.2019 12:15;in;3;3,25;calm;n
15.12.2019 12:15;in;3;3,25;calm;n
17.12.2019 10:15;in;1;3,25;calm;n
12.01.2020 12:15;in;2;3,25;balancing;j
04.12.2019 10:20;north;2;3,25;swimming;n
04.12.2019 12:20;north;2;3,25;swimming;n
05.12.2019 12:20;north;2;3,25;swimming;n
13.12.2019 14:20;north;1;3,25;swimming;n
06.01.2020 10:20;north;3;3,25;against;j
06.01.2020 12:20;north;3;3,25;swimming;n
20.12.2019 10:05;south;3;3,25;chaotic;n
12.01.2020 14:05;south;1;3,25;against;j
20.01.2020 10:05;south;2;3,25;against;j
20.01.2020 12:05;south;3;3,25;chaotic;n
24.01.2020 10:05;south;1;3,25;calm;n
20.01.2020 10:20;east;3;3,251;chaotic;n
26.01.2020 10:20;east;2;3,251;swimming;n
08.02.2020 12:20;east;3;3,251;swimming;n
05.12.2019 14:00;feed;2;3,251;swimming;n
20.12.2019 10:00;feed;1;3,251;swimming;n
10.12.2019 14:15;in;3;3,251;calm;n
15.12.2019 14:05;south;1;3,251;against;j
07.01.2020 10:05;south;3;3,251;chaotic;n
20.12.2019 10:00;feed;2;3,252;swimming;n
08.12.2019 10:05;south;2;3,252;against;j
17.12.2019 14:05;south;1;3,496;against;j
13.12.2019 10:05;south;3;3,498;swimming;n
04.12.2019 12:00;feed;3;3,499;calm;n
26.01.2020 10:00;feed;3;3,499;swimming;n
11.12.2019 14:15;in;3;3,499;calm;n
13.12.2019 10:15;in;3;3,499;against;j
17.12.2019 12:15;in;2;3,499;calm;n
05.01.2020 10:15;in;1;3,499;calm;n
05.12.2019 14:20;north;3;3,499;swimming;n
04.12.2019 10:15;east;1;3,5;calm;n
04.12.2019 14:15;east;3;3,5;calm;n
05.12.2019 12:15;east;1;3,5;calm;n
05.12.2019 14:15;east;2;3,5;chaotic;n
13.12.2019 14:20;east;2;3,5;calm;n
17.12.2019 10:20;east;1;3,5;chaotic;n
20.12.2019 12:20;east;2;3,5;calm;n
20.12.2019 14:20;east;3;3,5;against;j
20.01.2020 12:20;east;2;3,5;chaotic;n
08.02.2020 09:20;east;3;3,5;swimming;n
04.12.2019 14:00;feed;3;3,5;calm;n
13.12.2019 10:00;feed;2;3,5;against;j
13.12.2019 14:00;feed;1;3,5;against;j
17.12.2019 10:00;feed;3;3,5;swimming;n
17.12.2019 12:00;feed;3;3,5;swimming;n
08.02.2020 09:00;feed;2;3,5;swimming;n
08.02.2020 15:00;feed;3;3,5;against;j
10.12.2019 14:15;in;1;3,5;calm;n
13.12.2019 12:15;in;1;3,5;against;j
15.12.2019 10:15;in;2;3,5;against;j
15.12.2019 12:15;in;2;3,5;calm;n
06.01.2020 10:15;in;2;3,5;calm;n
06.01.2020 14:15;in;3;3,5;against;j
24.01.2020 10:15;in;3;3,5;against;j
08.02.2020 12:15;in;2;3,5;calm;n
04.12.2019 12:20;north;3;3,5;swimming;n
05.12.2019 12:20;north;1;3,5;against;j
17.12.2019 10:05;south;3;3,5;calm;n
12.01.2020 12:05;south;2;3,5;chaotic;n
12.01.2020 14:05;south;2;3,5;against;j
24.01.2020 12:05;south;2;3,5;against;j
26.01.2020 10:05;south;3;3,5;against;j
15.12.2019 12:20;east;1;3,501;calm;n
