Hs,Tp,Dp,Tz,T01,T-1,Dm,S0,HsSwell,TpSwell,DpSwell,HsSea,TpSea,DpSea,H13,T13,H10,T10,Hmax,Tmax,datetime,hourly,tenmin
0.133,11.6,180,3.3,3.8,5.9,182,1.12,0.064,11.6,180,0.114,3,197,0.14,5.7,0.173,6.2,0.25,3.5,2019-11-29T06:00:00Z,2019-11-29T06:00:00Z,2019-11-29T06:00:00Z
0.133,11.6,180,3.3,3.8,5.9,182,1.12,0.064,11.6,180,0.114,3,197,0.14,5.7,0.173,6.2,0.25,3.5,2019-11-29T06:05:00Z,2019-11-29T06:00:00Z,2019-11-29T06:00:00Z
0.133,11.6,180,3.3,3.8,5.9,182,1.12,0.064,11.6,180,0.114,3,197,0.14,5.7,0.173,6.2,0.25,3.5,2019-11-29T06:10:00Z,2019-11-29T06:00:00Z,2019-11-29T06:10:00Z
0.133,11.6,180,3.3,3.8,5.9,182,1.12,0.064,11.6,180,0.114,3,197,0.14,5.7,0.173,6.2,0.25,3.5,2019-11-29T06:15:00Z,2019-11-29T06:00:00Z,2019-11-29T06:10:00Z
0.153,11.6,228,4,4.6,6.2,202,1.1,0.073,11.6,228,0.13,6.1,212,0.17,6.1,0.211,6.6,0.304,8.5,2019-11-29T18:00:00Z,2019-11-29T18:00:00Z,2019-11-29T18:00:00Z
0.153,11.6,228,4,4.6,6.2,202,1.1,0.073,11.6,228,0.13,6.1,212,0.17,6.1,0.211,6.6,0.304,8.5,2019-11-29T18:05:00Z,2019-11-29T18:00:00Z,2019-11-29T18:00:00Z
0.153,11.6,228,4,4.6,6.2,202,1.1,0.073,11.6,228,0.13,6.1,212,0.17,6.1,0.211,6.6,0.304,8.5,2019-11-29T18:10:00Z,2019-11-29T18:00:00Z,2019-11-29T18:10:00Z
0.153,11.6,228,4,4.6,6.2,202,1.1,0.073,11.6,228,0.13,6.1,212,0.17,6.1,0.211,6.6,0.304,8.5,2019-11-29T18:15:00Z,2019-11-29T18:00:00Z,2019-11-29T18:10:00Z
0.169,14.2,254,4.1,5,7.5,189,1.09,0.1,14.2,254,0.129,5.6,178,0.184,7.3,0.23,8.1,0.3,13,2019-12-18T20:00:00Z,2019-12-18T20:00:00Z,2019-12-18T20:00:00Z
0.169,14.2,254,4.1,5,7.5,189,1.09,0.1,14.2,254,0.129,5.6,178,0.184,7.3,0.23,8.1,0.3,13,2019-12-18T20:05:00Z,2019-12-18T20:00:00Z,2019-12-18T20:00:00Z
