Hm0,H3,H10,Hmax,Hmean,Tm02,Tp,Tz,T3,T10,Tmax,DirTp,SprTp,Mdir,unidirectind,mpressure,currentspeed,currentdir,errorcode,datetime,hourly,tenmin
0.25,0.2,0.26,0.35,0.13,2.64,14.93,2.93,4.37,5.55,5.5,313.65,79.67,296.19,0.73,17.531,0.09,332.2,0,2019-10-31T14:32:01Z,2019-10-31T15:00:00Z,2019-10-31T14:30:00Z
0.23,0.19,0.24,0.33,0.12,2.47,13.05,2.86,4.12,5.58,9,270.78,76.9,269.56,0.68,17.557,0.11,330.3,0,2019-10-31T15:32:01Z,2019-10-31T16:00:00Z,2019-10-31T15:30:00Z
0.2,0.16,0.2,0.28,0.1,2.26,8.89,2.56,3.41,4.12,2,284.37,78.55,266.84,0.55,17.616,0.11,336.7,0,2019-10-31T16:32:01Z,2019-10-31T17:00:00Z,2019-10-31T16:30:00Z
0.18,0.14,0.17,0.25,0.09,2.18,9.4,2.55,3.32,4.26,3,245.64,76.47,235.14,0.42,17.942,0.08,326.3,0,2019-10-31T17:32:01Z,2019-10-31T18:00:00Z,2019-10-31T17:30:00Z
0.17,0.14,0.18,0.24,0.09,2.1,13.34,2.45,3.41,4.1,4.5,341.14,79.61,284.31,0.32,18.357,0.08,89.8,0,2019-10-31T18:32:01Z,2019-10-31T19:00:00Z,2019-10-31T18:30:00Z
0.19,0.16,0.21,0.26,0.1,2.8,9.88,3.23,4.92,5.58,5.5,217.55,74.33,256,0.76,18.601,0.19,96.1,0,2019-10-31T19:32:01Z,2019-10-31T20:00:00Z,2019-10-31T19:30:00Z
0.29,0.26,0.32,0.4,0.16,3.2,5.52,3.61,5.32,5.94,5.5,254.63,66.05,283.55,0.73,18.555,0.05,176.8,0,2019-10-31T20:32:01Z,2019-10-31T21:00:00Z,2019-10-31T20:30:00Z
0.27,0.23,0.3,0.37,0.14,2.86,6.65,3.24,4.65,5.93,7.5,331.18,74.54,279.51,0.66,18.354,0.08,242.9,0,2019-10-31T21:32:01Z,2019-10-31T22:00:00Z,2019-10-31T21:30:00Z
0.31,0.27,0.34,0.47,0.17,2.68,4.91,3,3.9,4.54,5.5,252.36,65.53,245.69,0.8,18.18,0.05,256.6,0,2019-10-31T22:32:01Z,2019-10-31T23:00:00Z,2019-10-31T22:30:00Z
0.25,0.21,0.27,0.34,0.14,2.59,11.58,2.98,4.3,5.07,2.5,215.9,76.04,229.98,0.7,18.054,0.05,251.6,0,2019-10-31T23:32:01Z,2019-11-01T00:00:00Z,2019-10-31T23:30:00Z
0.24,0.2,0.26,0.39,0.12,3.23,8.53,3.52,5.26,5.91,6,175.15,69.75,221.08,0.67,17.88,0.05,249.9,0,2019-11-01T00:32:01Z,2019-11-01T01:00:00Z,2019-11-01T00:30:00Z
0.24,0.21,0.26,0.37,0.13,3.96,8.99,4.32,6.18,6.76,5,141.33,73.76,208.25,0.76,17.726,0.28,287.9,0,2019-11-01T01:32:01Z,2019-11-01T02:00:00Z,2019-11-01T01:30:00Z
0.23,0.21,0.26,0.33,0.13,4.77,5.95,5.29,7.1,7,7.5,279.55,65.24,235.63,0.52,17.624,0.33,297,0,2019-11-01T02:32:01Z,2019-11-01T03:00:00Z,2019-11-01T02:30:00Z
0.15,0.13,0.16,0.21,0.08,4.42,13.59,4.74,7.22,8.5,8,322.19,75.56,279.45,0.61,17.59,0.11,334.6,0,2019-11-01T03:32:01Z,2019-11-01T04:00:00Z,2019-11-01T03:30:00Z
0.15,0.13,0.17,0.25,0.08,3.83,8.52,4.23,6.71,7.52,7.5,47.11,75.48,309.78,0.3,17.677,0.12,299.6,0,2019-11-01T04:32:01Z,2019-11-01T05:00:00Z,2019-11-01T04:30:00Z
0.16,0.14,0.19,0.25,0.08,4.18,10.86,4.6,7.45,8.79,11,289.63,73.05,281.28,0.79,17.978,0.09,317.6,0,2019-11-01T05:32:01Z,2019-11-01T06:00:00Z,2019-11-01T05:30:00Z
0.16,0.14,0.19,0.24,0.09,3.82,9.03,4.67,7.52,8.73,9,305.98,70.25,293.42,0.7,18.327,0.14,18.6,0,2019-11-01T06:32:01Z,2019-11-01T07:00:00Z,2019-11-01T06:30:00Z
